timestamp_s,pid,gpu_total_util_pct,gpu_proc_util_pct,proc_cpu_pct,proc_rss_mb,backend
4.291534423828125e-05,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
0.10094928741455078,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
0.2013998031616211,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
0.3022005558013916,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
0.4029269218444824,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
0.5035994052886963,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
0.6042215824127197,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
0.704841136932373,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
0.8054294586181641,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
0.9058983325958252,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
1.0063824653625488,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
1.1068382263183594,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
1.2073159217834473,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
1.307783603668213,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
1.4082486629486084,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
1.5087285041809082,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
1.6092891693115234,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
1.7098300457000732,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
1.81032395362854,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
1.9109878540039062,108004,0.0,0.0,,0.4609375,jetson-sysfs:/sys/devices/gpu.0/load
